調教師,race_pace,件数,勝率,複勝率
菊川正達,やや速い,302,0.03459119496855346,0.1289308176100629
松山将樹,やや速い,160,0.024390243902439025,0.12804878048780488
松永康利,やや速い,203,0.04265402843601896,0.12796208530805686
粕谷昌央,やや速い,209,0.037383177570093455,0.1261682242990654
石毛善彦,やや速い,237,0.03861003861003861,0.12355212355212356
青木孝文,やや速い,205,0.03755868544600939,0.12206572769953052
和田正道,やや速い,102,0.04672897196261682,0.12149532710280374
伊藤正徳,やや速い,64,0.015151515151515152,0.12121212121212122
星野忍,やや速い,89,0.054945054945054944,0.12087912087912088
古賀史生,やや速い,156,0.0375,0.11875
村田一誠,やや速い,49,0.0196078431372549,0.11764705882352941
佐藤吉勝,やや速い,159,0.030864197530864196,0.11728395061728394
崎山博樹,やや速い,93,0.03125,0.11458333333333333
作田誠二,やや速い,141,0.040268456375838924,0.11409395973154363
柄崎孝,やや速い,133,0.014925373134328358,0.11194029850746269
加藤和宏,やや速い,175,0.027624309392265192,0.11049723756906077
和田雄二,やや速い,220,0.026200873362445413,0.1091703056768559
南田美知,やや速い,242,0.023809523809523808,0.10714285714285714
畑端省吾,やや速い,80,0.023529411764705882,0.10588235294117647
堀内岳志,やや速い,66,0.014925373134328358,0.1044776119402985
天間昭一,やや速い,211,0.013636363636363636,0.09545454545454546
浅野洋一,やや速い,134,0.014492753623188406,0.09420289855072464
蛯名利弘,やや速い,269,0.03125,0.09027777777777778
本間忍,やや速い,197,0.034482758620689655,0.08866995073891626
小島太,やや速い,90,0.0,0.07608695652173914
的場均,やや速い,152,0.012658227848101266,0.06329113924050633
服部利之,やや速い,162,0.028735632183908046,0.06321839080459771
根本康広,やや速い,178,0.026737967914438502,0.058823529411764705
加藤敬二,やや速い,57,0.0,0.034482758620689655
二本柳俊,やや速い,30,0.03333333333333333,0.03333333333333333
谷原義明,やや速い,49,0.0,0.0
中内田充,スロー上がり,239,0.2388663967611336,0.4777327935222672
友道康夫,スロー上がり,438,0.1877637130801688,0.47257383966244726
木村哲也,スロー上がり,277,0.19791666666666666,0.4479166666666667
辻野泰之,スロー上がり,52,0.17857142857142858,0.42857142857142855
藤沢和雄,スロー上がり,280,0.17301038062283736,0.4186851211072664
角居勝彦,スロー上がり,280,0.15894039735099338,0.41721854304635764
国枝栄,スロー上がり,434,0.13894736842105262,0.4063157894736842
池江泰寿,スロー上がり,449,0.13654618473895583,0.39558232931726905
宮田敬介,スロー上がり,88,0.1827956989247312,0.3870967741935484
藤岡健一,スロー上がり,230,0.13793103448275862,0.38362068965517243
杉山晴紀,スロー上がり,171,0.18285714285714286,0.38285714285714284
田中博康,スロー上がり,76,0.15789473684210525,0.3815789473684211
須貝尚介,スロー上がり,356,0.11977715877437325,0.3788300835654596
武幸四郎,スロー上がり,118,0.11764705882352941,0.37815126050420167
堀宣行,スロー上がり,421,0.16818181818181818,0.37727272727272726
藤原英昭,スロー上がり,365,0.11780104712041885,0.3743455497382199
高野友和,スロー上がり,256,0.11877394636015326,0.36015325670498083
