騎手,場所,芝・ダ,距離,ペース型,騎乗数,勝利数,複勝数,平均着順,平均4角率,勝率,複勝率
北村友一,中京,芝,2000,標準〜やや上がり,20,4,7,6.3,0.605377359568536,20.0,35.0
松山弘平,中京,芝,2000,標準〜やや上がり,41,5,13,6.7560975609756095,0.5226529747153851,12.195121951219512,31.70731707317073
幸英明,中京,芝,2000,標準〜やや上がり,38,3,12,6.7631578947368425,0.45214922891006476,7.894736842105263,31.57894736842105
松若風馬,中京,芝,2000,標準〜やや上がり,26,4,8,6.3076923076923075,0.5279182889759813,15.384615384615385,30.76923076923077
坂井瑠星,中京,芝,2000,標準〜やや上がり,20,1,6,6.25,0.4729827117327117,5.0,30.0
藤岡康太,中京,芝,2000,標準〜やや上がり,38,3,10,6.842105263157895,0.45741862841321046,7.894736842105263,26.31578947368421
岩田望来,中京,芝,2000,標準〜やや上がり,27,4,7,7.518518518518518,0.45417538464924084,14.814814814814813,25.925925925925924
荻野極,中京,芝,2000,標準〜やや上がり,29,3,6,9.241379310344827,0.4472155014244264,10.344827586206897,20.689655172413794
柴山雄一,中京,芝,2000,標準〜やや上がり,20,1,4,6.6,0.4544607843137255,5.0,20.0
西村淳也,中京,芝,2000,標準〜やや上がり,25,2,5,6.92,0.36254118104118105,8.0,20.0
団野大成,中京,芝,2000,標準〜やや上がり,21,2,4,6.904761904761905,0.4694911142390134,9.523809523809524,19.047619047619047
鮫島克駿,中京,芝,2000,標準〜やや上がり,39,3,7,7.384615384615385,0.48151645572460056,7.6923076923076925,17.94871794871795
富田暁,中京,芝,2000,標準〜やや上がり,20,0,3,9.6,0.5442265414324238,0.0,15.0
川田将雅,中京,芝,2200,スロー上がり,20,3,11,3.7,0.4888454600954601,15.0,55.00000000000001
福永祐一,中京,芝,2200,スロー上がり,22,4,11,4.090909090909091,0.4633517143878106,18.181818181818183,50.0
藤岡康太,中京,芝,2200,スロー上がり,27,5,13,4.333333333333333,0.46552698088645805,18.51851851851852,48.148148148148145
和田竜二,中京,芝,2200,スロー上がり,23,1,8,5.478260869565218,0.3752322556670383,4.3478260869565215,34.78260869565217
丸山元気,中京,芝,2200,スロー上がり,22,2,7,7.0,0.5562114430429937,9.090909090909092,31.818181818181817
松山弘平,中京,芝,2200,スロー上がり,31,5,8,5.967741935483871,0.5003428155230811,16.129032258064516,25.806451612903224
吉田隼人,中京,芝,2200,スロー上がり,28,2,7,6.0,0.5313820458253231,7.142857142857142,25.0
菱田裕二,中京,芝,2200,スロー上がり,22,1,4,8.136363636363637,0.5046071983571984,4.545454545454546,18.181818181818183
鮫島克駿,中京,芝,2200,スロー上がり,24,2,4,6.958333333333333,0.4826989969453204,8.333333333333332,16.666666666666664
松若風馬,中京,芝,2200,スロー上がり,25,1,4,7.52,0.43637513140454315,4.0,16.0
幸英明,中京,芝,2200,スロー上がり,23,1,1,8.347826086956522,0.5176592163165054,4.3478260869565215,4.3478260869565215
川田将雅,中京,芝,2200,標準〜やや上がり,22,10,15,3.6363636363636362,0.38032138316229225,45.45454545454545,68.18181818181817
福永祐一,中京,芝,2200,標準〜やや上がり,20,1,10,5.1,0.47400252525252523,5.0,50.0
松山弘平,中京,芝,2200,標準〜やや上がり,23,4,8,6.217391304347826,0.4040452301321867,17.391304347826086,34.78260869565217
藤岡康太,中京,芝,2200,標準〜やや上がり,20,1,5,7.8,0.5000998021586257,5.0,25.0
和田竜二,中京,芝,2200,標準〜やや上がり,23,1,5,6.782608695652174,0.4752139165182644,4.3478260869565215,21.73913043478261
松若風馬,中京,芝,2200,標準〜やや上がり,25,2,5,7.28,0.4726758894700071,8.0,20.0
幸英明,中京,芝,2200,標準〜やや上がり,22,1,2,8.590909090909092,0.605683079546716,4.545454545454546,9.090909090909092
ルメール,中山,ダ,1200,ハイ/持続,107,20,51,5.299065420560748,0.35602683920440925,18.69158878504673,47.66355140186916
川田将雅,中山,ダ,1200,ハイ/持続,20,3,9,4.45,0.45895833333333336,15.0,45.0
マーカン,中山,ダ,1200,ハイ/持続,27,5,12,5.296296296296297,0.3185269976936644,18.51851851851852,44.44444444444444
武豊,中山,ダ,1200,ハイ/持続,29,2,10,5.551724137931035,0.3819786535303777,6.896551724137931,34.48275862068966
戸崎圭太,中山,ダ,1200,ハイ/持続,252,41,82,6.448412698412699,0.45066999799142654,16.26984126984127,32.53968253968254
三浦皇成,中山,ダ,1200,ハイ/持続,256,22,80,7.20703125,0.41867844069992505,8.59375,31.25
横山典弘,中山,ダ,1200,ハイ/持続,99,13,29,6.373737373737374,0.6104804286622468,13.131313131313133,29.292929292929294
横山武史,中山,ダ,1200,ハイ/持続,195,20,57,7.302564102564102,0.4717482090559013,10.256410256410255,29.230769230769234
坂井瑠星,中山,ダ,1200,ハイ/持続,21,3,6,6.666666666666667,0.42755102040816323,14.285714285714285,28.57142857142857
石橋脩,中山,ダ,1200,ハイ/持続,180,18,51,7.138888888888889,0.522071077071077,10.0,28.333333333333332
岩田康誠,中山,ダ,1200,ハイ/持続,53,2,15,7.2075471698113205,0.49765014859354484,3.7735849056603774,28.30188679245283
Ｍ．デム,中山,ダ,1200,ハイ/持続,93,9,26,7.161290322580645,0.45566762986117826,9.67741935483871,27.956989247311824
田辺裕信,中山,ダ,1200,ハイ/持続,225,20,61,6.88,0.4771483331483331,8.88888888888889,27.111111111111114
松山弘平,中山,ダ,1200,ハイ/持続,49,3,13,7.142857142857143,0.3949829931972789,6.122448979591836,26.53061224489796
池添謙一,中山,ダ,1200,ハイ/持続,23,3,6,7.565217391304348,0.37880434782608696,13.043478260869565,26.08695652173913
北村友一,中山,ダ,1200,ハイ/持続,20,1,5,7.9,0.47071428571428575,5.0,25.0
小林美駒,中山,ダ,1200,ハイ/持続,28,2,7,8.178571428571429,0.4817765567765568,7.142857142857142,25.0
武藤雅,中山,ダ,1200,ハイ/持続,180,15,44,8.072222222222223,0.4826898795648796,8.333333333333332,24.444444444444443
荻野極,中山,ダ,1200,ハイ/持続,33,2,8,7.181818181818182,0.37382478632478633,6.0606060606060606,24.242424242424242
ミナリク,中山,ダ,1200,ハイ/持続,43,2,10,8.674418604651162,0.5246677740863788,4.651162790697675,23.25581395348837
横山和生,中山,ダ,1200,ハイ/持続,151,10,35,7.450331125827814,0.5890200858743906,6.622516556291391,23.178807947019866
菱田裕二,中山,ダ,1200,ハイ/持続,22,3,5,8.545454545454545,0.47575757575757577,13.636363636363635,22.727272727272727
北村宏司,中山,ダ,1200,ハイ/持続,186,13,42,7.827956989247312,0.47190560335721626,6.989247311827956,22.58064516129032
長浜鴻緒,中山,ダ,1200,ハイ/持続,55,4,12,8.672727272727272,0.5596287046287046,7.2727272727272725,21.818181818181817
長岡禎仁,中山,ダ,1200,ハイ/持続,23,2,5,7.739130434782608,0.5542224080267558,8.695652173913043,21.73913043478261
岩田望来,中山,ダ,1200,ハイ/持続,28,3,6,7.071428571428571,0.4986819727891157,10.714285714285714,21.428571428571427
横山琉人,中山,ダ,1200,ハイ/持続,70,5,15,8.771428571428572,0.45286041339612765,7.142857142857142,21.428571428571427
大野拓弥,中山,ダ,1200,ハイ/持続,257,14,55,7.88715953307393,0.5090203246818032,5.447470817120623,21.40077821011673
