場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中京,ダ,1200,不,8,70.7125,36.25,44.1,11.785,61.0975,34.4625,0.13399673243423244,45.1375,36.132,0.30425857475857476,64.0,16.0,ハイ/持続,前残り・先行優勢,1:10.7
中京,ダ,1200,稍,29,71.5,36.48620689655172,43.97586206896552,11.916896551724138,60.42620689655172,35.01379310344827,0.2624682788475892,45.99310344827586,36.50344827586207,0.33724029801616007,63.2183908045977,19.54022988505747,ハイ/持続,前残り・先行優勢,1:11.5
中京,ダ,1200,良,91,71.8108695652174,36.5304347826087,44.292391304347824,11.968695652173912,60.164891304347826,35.2804347826087,0.27443077755577755,46.61739130434783,36.62380952380952,0.3420049273071251,59.34065934065934,19.78021978021978,ハイ/持続,前残り・先行優勢,1:11.8
中京,ダ,1200,重,13,70.62307692307692,35.823076923076925,44.607692307692304,11.77076923076923,61.175384615384615,34.8,0.2798992673992674,47.184615384615384,36.16153846153846,0.2513888888888889,71.7948717948718,10.256410256410255,ハイ/持続,前残り・先行優勢,1:10.6
中京,ダ,1400,不,16,82.95625,36.63125,42.64375,11.85125,60.765,34.746875,0.32370650183150185,44.9125,36.72708333333333,0.40563663766788766,52.083333333333336,33.33333333333333,ハイ/持続,中間/混合,1:23.0
中京,ダ,1400,稍,52,84.21538461538461,36.919230769230765,44.090384615384615,12.031153846153845,59.856923076923074,35.475,0.3284363339651801,46.14038461538462,37.029487179487184,0.36034160817814664,57.692307692307686,19.230769230769234,ハイ/持続,前残り・先行優勢,1:24.2
中京,ダ,1400,良,158,84.39493670886075,37.09177215189873,43.74810126582278,12.056012658227848,59.72259493670886,35.479873417721514,0.2847887608172418,45.70189873417721,37.18487394957983,0.3592283766653514,56.9327731092437,19.95798319327731,ハイ/持続,前残り・先行優勢,1:24.4
中京,ダ,1400,重,18,83.08888888888889,36.49444444444444,43.69444444444444,11.870555555555555,60.66055555555556,34.94777777777777,0.24735449735449735,45.81666666666667,36.49074074074074,0.3812830687830688,55.55555555555556,20.37037037037037,ハイ/持続,前残り・先行優勢,1:23.1
中京,ダ,1800,不,15,110.77333333333333,37.1,47.84666666666667,12.309333333333335,58.508,36.836666666666666,0.2912003737003737,49.32666666666667,37.315555555555555,0.3133496441829775,66.66666666666666,11.11111111111111,やや速い,前残り・先行優勢,1:50.8
中京,ダ,1800,稍,54,112.78333333333333,37.64074074074074,48.48148148148148,12.531481481481482,57.46037037037037,37.571296296296296,0.25876625946070386,49.894444444444446,37.87469135802469,0.32454286968175855,62.34567901234568,13.580246913580247,やや速い,前残り・先行優勢,1:52.8
